"county","state","home_affordability","cum_county","cum_home_affordability"
"Klamath","Oregon","4","16.85%","30.42%"
"Grand Traverse","Michigan","4","16.88%","30.46%"
"Tooele","Utah","4","16.91%","30.51%"
"Pickens","South Carolina","4","16.94%","30.55%"
"San Miguel","New Mexico","4","16.97%","30.59%"
"Washburn","Wisconsin","4","17%","30.63%"
"Franklin","Texas","4","17.03%","30.67%"
"Columbia","Florida","4","17.06%","30.71%"
"Berkshire","Massachusetts","4","17.09%","30.76%"
"Rutland","Vermont","4","17.13%","30.8%"
"White","Georgia","4","17.16%","30.84%"
"Dickson","Tennessee","4","17.19%","30.88%"
"Franklin","Tennessee","4","17.22%","30.92%"
"Delaware","Oklahoma","4","17.25%","30.96%"
"Charlevoix","Michigan","4","17.28%","31%"
"White","Tennessee","4","17.31%","31.05%"
"Lincoln","Idaho","4","17.34%","31.09%"
"Caribou","Idaho","4","17.37%","31.13%"
"Fremont","Wyoming","4","17.4%","31.17%"
"Wayne","Ohio","4","17.43%","31.21%"
"Grant","Oregon","4","17.47%","31.25%"
"Pickett","Tennessee","4","17.5%","31.29%"
"Judith Basin","Montana","4","17.53%","31.34%"
"Carbon","Utah","4","17.56%","31.38%"
"Moore","Tennessee","4","17.59%","31.42%"
"Wilson","Texas","4","17.62%","31.46%"
"Dane","Wisconsin","4","17.65%","31.5%"
"Dorchester","South Carolina","4","17.68%","31.54%"
"Morgan","Colorado","4","17.71%","31.58%"
"Sagadahoc","Maine","4","17.74%","31.62%"
"Washington","Vermont","4","17.77%","31.66%"
"Cheatham","Tennessee","4","17.81%","31.71%"
"Garrett","Maryland","4","17.84%","31.75%"
"Conejos","Colorado","4","17.87%","31.79%"
"Williamson","Texas","4","17.9%","31.83%"
"Mason","Texas","4","17.93%","31.87%"
"Gilchrist","Florida","4","17.96%","31.91%"
